Sample in Buffer,Sample in Window,TRIGGER,design_1_i/encoder_counter_0_counter[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
555,555,0,80
556,556,0,80
557,557,0,80
558,558,0,80
559,559,0,80
560,560,0,80
561,561,0,80
562,562,0,80
563,563,0,80
564,564,0,80
565,565,0,80
566,566,0,80
567,567,0,80
568,568,0,80
569,569,0,80
570,570,0,80
571,571,0,80
572,572,0,80
573,573,0,80
574,574,0,80
575,575,0,80
576,576,0,80
577,577,0,80
578,578,0,80
579,579,0,80
580,580,0,80
581,581,0,80
582,582,0,80
583,583,0,80
584,584,0,80
585,585,0,80
586,586,0,80
587,587,0,80
588,588,0,80
589,589,0,80
590,590,0,80
591,591,0,80
592,592,0,80
593,593,0,80
594,594,0,80
595,595,0,80
596,596,0,80
597,597,0,80
598,598,0,80
599,599,0,80
600,600,0,80
601,601,0,80
602,602,0,80
603,603,0,80
604,604,0,80
605,605,0,80
606,606,0,80
607,607,0,80
608,608,0,80
609,609,0,80
610,610,0,80
611,611,0,80
612,612,0,80
613,613,0,80
614,614,0,80
615,615,0,80
616,616,0,80
617,617,0,80
618,618,0,80
619,619,0,80
620,620,0,80
621,621,0,80
622,622,0,80
623,623,0,80
624,624,0,80
625,625,0,80
626,626,0,80
627,627,0,80
628,628,0,80
629,629,0,80
630,630,0,80
631,631,0,80
632,632,0,80
633,633,0,80
634,634,0,80
635,635,0,80
636,636,0,80
637,637,0,80
638,638,0,80
639,639,0,80
640,640,0,80
641,641,0,80
642,642,0,80
643,643,0,80
644,644,0,80
645,645,0,80
646,646,0,80
647,647,0,80
648,648,0,80
649,649,0,80
650,650,0,80
651,651,0,80
652,652,0,80
653,653,0,80
654,654,0,80
655,655,0,80
656,656,0,80
657,657,0,80
658,658,0,80
659,659,0,80
660,660,0,80
661,661,0,80
662,662,0,80
663,663,0,80
664,664,0,80
665,665,0,80
666,666,0,80
667,667,0,80
668,668,0,80
669,669,0,80
670,670,0,80
671,671,0,80
672,672,0,80
673,673,0,80
674,674,0,80
675,675,0,80
676,676,0,80
677,677,0,80
678,678,0,80
679,679,0,80
680,680,0,80
681,681,0,80
682,682,0,80
683,683,0,80
684,684,0,80
685,685,0,80
686,686,0,80
687,687,0,80
688,688,0,80
689,689,0,80
690,690,0,80
691,691,0,80
692,692,0,80
693,693,0,80
694,694,0,80
695,695,0,80
696,696,0,80
697,697,0,80
698,698,0,80
699,699,0,80
700,700,0,80
701,701,0,80
702,702,0,80
703,703,0,80
704,704,0,80
705,705,0,80
706,706,0,80
707,707,0,80
708,708,0,80
709,709,0,80
710,710,0,80
711,711,0,80
712,712,0,80
713,713,0,80
714,714,0,80
715,715,0,80
716,716,0,80
717,717,0,80
718,718,0,80
719,719,0,80
720,720,0,80
721,721,0,80
722,722,0,80
723,723,0,80
724,724,0,80
725,725,0,80
726,726,0,80
727,727,0,80
728,728,0,80
729,729,0,80
730,730,0,80
731,731,0,80
732,732,0,80
733,733,0,80
734,734,0,80
735,735,0,80
736,736,0,80
737,737,0,80
738,738,0,80
739,739,0,80
740,740,0,80
741,741,0,80
742,742,0,80
743,743,0,80
744,744,0,80
745,745,0,80
746,746,0,80
747,747,0,80
748,748,0,80
749,749,0,80
750,750,0,80
751,751,0,80
752,752,0,80
753,753,0,80
754,754,0,80
755,755,0,80
756,756,0,80
757,757,0,80
758,758,0,80
759,759,0,80
760,760,0,80
761,761,0,80
762,762,0,80
763,763,0,80
764,764,0,80
765,765,0,80
766,766,0,80
767,767,0,80
768,768,0,80
769,769,0,80
770,770,0,80
771,771,0,80
772,772,0,80
773,773,0,80
774,774,0,80
775,775,0,80
776,776,0,80
777,777,0,80
778,778,0,80
779,779,0,80
780,780,0,80
781,781,0,80
782,782,0,80
783,783,0,80
784,784,0,80
785,785,0,80
786,786,0,80
787,787,0,80
788,788,0,80
789,789,0,80
790,790,0,80
791,791,0,80
792,792,0,80
793,793,0,80
794,794,0,80
795,795,0,80
796,796,0,80
797,797,0,80
798,798,0,80
799,799,0,80
800,800,0,80
801,801,0,80
802,802,0,80
803,803,0,80
804,804,0,80
805,805,0,80
806,806,0,80
807,807,0,80
808,808,0,80
809,809,0,80
810,810,0,80
811,811,0,80
812,812,0,80
813,813,0,80
814,814,0,80
815,815,0,80
